"title","release_year","budget","revenue","rating","num_voted_users","profit_ratio"
"Swingers",1996,200000,4505922,7.4,63951,22.52961
"The Godfather",1972,6000000,134821952,9.2,1155770,22.4703253333333
"Woodstock",1970,600000,13300000,8.1,12631,22.1666666666667
"Saw II",2005,4000000,87025093,6.6,188679,21.75627325
"The Purge",2013,3000000,64423650,5.7,139329,21.47455
"The Fog",1980,1000000,21378000,6.8,46492,21.378
"The Fog",1980,1000000,21378000,6.8,46493,21.378
"In the Bedroom",2001,1700000,35918429,7.5,32415,21.1284876470588
"Paranormal Activity 3",2011,5000000,104007828,5.8,76828,20.8015656
"Sex, Lies, and Videotape",1989,1200000,24741700,7.2,37785,20.6180833333333
"The Sound of Music",1965,8200000,163214286,8,148172,19.9041812195122
"Fahrenheit 9/11",2004,6000000,119078393,7.5,113152,19.8463988333333
"Crocodile Dundee",1986,8800000,174635000,6.5,74743,19.8448863636364
"Tadpole",2000,150000,2882062,6.3,5178,19.2137466666667
"Juno",2007,7500000,143492840,7.5,414335,19.1323786666667
"Juno",2007,7500000,143492840,7.5,414345,19.1323786666667
"Chernobyl Diaries",2012,1000000,18112929,5,52642,18.112929
"Friday the 13th: The Final Chapter",1984,1800000,32600000,5.9,29488,18.1111111111111
"Pink Flamingos",1972,10000,180483,6.1,16792,18.0483
"Police Academy",1984,4500000,81200000,6.7,87739,18.0444444444444
"The Howling",1981,1000000,17986000,6.6,22773,17.986
"Fruitvale Station",2013,900000,16097842,7.5,53919,17.8864911111111
"Courageous",2011,2000000,34522221,7,15401,17.2611105
"Butch Cassidy and the Sundance Kid",1969,6000000,102308900,8.1,152089,17.0514833333333
"Mary Poppins",1964,6000000,102300000,7.8,107408,17.05
"Goldfinger",1964,3000000,51100000,7.8,139432,17.0333333333333
"Beverly Hills Cop",1984,14000000,234760500,7.3,126464,16.7686071428571
"Lovely & Amazing",2001,250000,4186931,6.9,6041,16.747724
"Insidious: Chapter 2",2013,5000000,83574831,6.6,109214,16.7149662
"Magic Mike",2012,7000000,113709992,6.1,108843,16.2442845714286
"Star Wars: Episode V - The Empire Strikes Back",1980,18000000,290158751,8.8,837759,16.1199306111111
"Sinister",2012,3000000,48056940,6.8,155153,16.01898
"A Haunted House",2013,2500000,40041683,5.1,34620,16.0166732
"Home Alone",1990,18000000,285761243,7.5,311075,15.8756246111111
"Super Troopers",2001,1200000,18488314,7.1,76151,15.4069283333333
"Friday the 13th Part 2",1981,1250000,19100000,6.1,39690,15.28
"3 Men and a Baby",1987,11000000,167780960,5.9,36918,15.2528145454545
"Better Luck Tomorrow",2002,250000,3799339,7.2,8000,15.197356
"A Nightmare on Elm Street",1984,1800000,26505000,7.5,149285,14.725
"A Nightmare on Elm Street",1984,1800000,26505000,7.5,149293,14.725
"Dr. No",1962,1100000,16067035,7.3,116642,14.6063954545455
"Hellraiser",1987,1000000,14564027,7,76407,14.564027
"Driving Miss Daisy",1989,7500000,106593296,7.4,72324,14.2124394666667
"Good Will Hunting",1997,10000000,138339411,8.3,604904,13.8339411
"Clerks",1994,230000,3151130,7.8,181749,13.7005652173913
"A Nightmare on Elm Street 2: Freddy's Revenge",1985,2200000,30000000,5.4,43485,13.6363636363636
"Like Crazy",2011,250000,3388210,6.7,46813,13.55284
"Pulp Fiction",1994,8000000,107930000,8.9,1324680,13.49125
"Gremlins",1984,11000000,148170000,7.2,142293,13.47
"Raiders of the Lost Ark",1981,18000000,242374454,8.5,661017,13.4652474444444
"2016: Obama's America",2012,2500000,33349949,5.1,9010,13.3399796
"Another Earth",2011,100000,1316074,7,71387,13.16074
"The Full Monty",1997,3500000,45857453,7.2,82232,13.1021294285714
"The Full Monty",1997,3500000,45857453,7.2,82232,13.1021294285714
"Metropolitan",1990,225000,2938208,7.5,7143,13.0587022222222
"The Visit",2015,5000000,65069140,6.2,65299,13.013828
"Annabelle",2014,6500000,84263837,5.4,81699,12.9636672307692
"Kevin Hart: Let Me Explain",2013,2500000,32230907,6.7,6062,12.8923628
"Jackass: The Movie",2002,5000000,64267897,6.6,67992,12.8535794
"The Puffy Chair",2005,15000,192467,6.6,4067,12.8311333333333
"Pretty Woman",1990,14000000,178406268,6.9,213476,12.7433048571429
"The Original Kings of Comedy",2000,3000000,38168022,6.6,4687,12.722674
"Mr. Holland's Opus",1995,6500000,82528097,7.3,30230,12.6966303076923
"Your Sister's Sister",2011,125000,1573712,6.7,21618,12.589696
"From Russia with Love",1963,2000000,24800000,7.5,89403,12.4
"The Grace Card",2010,200000,2428241,6.4,2099,12.141205
"Top Gun",1986,15000000,176781728,6.9,219171,11.7854485333333
"Four Weddings and a Funeral",1994,4500000,52700832,7.1,107923,11.711296
"Lights Out",2016,4900000,56536016,6.9,13523,11.5379624489796
"The Station Agent",2003,500000,5739376,7.7,58260,11.478752
"American Ninja 2: The Confrontation",1987,350000,4000000,4.7,6046,11.4285714285714
"The Karate Kid",1984,8000000,90800000,7.2,126907,11.35
"The Karate Kid",1984,8000000,90800000,7.2,126916,11.35
"The Best Years of Our Lives",1946,2100000,23650000,8.1,40359,11.2619047619048
"Fatal Attraction",1987,14000000,156645693,6.9,55101,11.1889780714286
"Hoop Dreams",1994,700000,7830611,8.3,18980,11.1865871428571
"Lost in Translation",2003,4000000,44566004,7.8,321283,11.141501
"Back to the Future",1985,19000000,210609762,8.5,732212,11.0847243157895
"The Grudge",2004,10000000,110175871,5.9,115050,11.0175871
"Paranormal Activity 4",2012,5000000,53884821,4.6,51204,10.7769642
"Bloodsport",1988,1100000,11806119,6.8,57578,10.7328354545455
"Garden State",2004,2500000,26781723,7.6,187595,10.7126892
"Chariots of Fire",1981,5500000,58800000,7.2,40511,10.6909090909091
"On the Waterfront",1954,910000,9600000,8.2,100890,10.5494505494505
"Madea's Family Reunion",2006,6000000,63231524,5,8962,10.5385873333333
"The Fault in Our Stars",2014,12000000,124868837,7.8,249688,10.4057364166667
"Ouija",2014,5000000,50820940,4.4,31915,10.164188
"Doctor Zhivago",1965,11000000,111722000,8,55816,10.1565454545455
"Cry_Wolf",2005,1000000,10042266,5.9,23021,10.042266
"Cavite",2005,7000,70071,6.3,589,10.0101428571429
"Beyond the Valley of the Dolls",1970,900000,9000000,6.2,7584,10
"A Nightmare on Elm Street 3: Dream Warriors",1987,4500000,44793200,6.6,49820,9.95404444444444
"Ghost",1990,22000000,217631306,7,154199,9.89233209090909
"Hostel",2005,4800000,47277326,5.9,138814,9.84944291666667
"Marilyn Hotchkiss' Ballroom Dancing and Charm School",1990,34000,333658,7.1,97,9.81347058823529
"Annie Hall",1977,4000000,39200000,8.1,192940,9.8
"Footloose",1984,8200000,80000000,6.5,51459,9.75609756097561
"Footloose",1984,8200000,80000000,6.5,51459,9.75609756097561
"Friday the 13th: A New Beginning",1985,2200000,21300000,4.7,22521,9.68181818181818
"Home Alone 2: Lost in New York",1992,18000000,173585516,6.6,200077,9.64363977777778
"Boyz n the Hood",1991,6000000,57504069,7.8,94139,9.5840115
"Waitress",2007,2000000,19067631,7.1,37714,9.5338155
"Good Morning, Vietnam",1987,13000000,123922370,7.3,98348,9.53249
"Star Wars: Episode VI - Return of the Jedi",1983,32500000,309125409,8.4,681857,9.51155104615385
"Slumdog Millionaire",2008,15000000,141319195,8,641997,9.42127966666667
"The Lion King",1994,45000000,422783777,8.5,644348,9.39519504444444
"Bend It Like Beckham",2002,3500159,32541719,6.7,89806,9.29721164095688
"The King's Speech",2010,15000000,138795342,8,503631,9.2530228
"American Pie",1999,11000000,101736215,7,315549,9.24874681818182
"Diary of a Mad Black Woman",2005,5500000,50382128,5.6,10472,9.16038690909091
"Ordinary People",1980,6000000,54800000,7.8,35130,9.13333333333333
"The Bridge on the River Kwai",1957,3000000,27200000,8.2,149444,9.06666666666667
"Friday the 13th Part III",1982,4000000,36200000,5.7,31952,9.05
"Transamerica",2005,1000000,9013113,7.4,36321,9.013113
"The Greatest Show on Earth",1952,4000000,36000000,6.7,9456,9
"20 Dates",1998,60000,536767,5.3,1622,8.94611666666667
"Leaving Las Vegas",1995,3600000,31968347,7.6,93894,8.88009638888889
"The Boy Next Door",2015,4000000,35385560,4.6,27198,8.84639
"The Blind Side",2009,29000000,255950375,7.7,223127,8.825875
"Mrs. Doubtfire",1993,25000000,219200000,6.9,181380,8.768
"The Gift",2015,5000000,43771291,7.1,79909,8.7542582
"The Gift",2015,5000000,43771291,7.1,79916,8.7542582
"Splash",1984,8000000,69800000,6.2,54723,8.725
"American Beauty",1999,15000000,130058047,8.4,822500,8.67053646666667
"Some Like It Hot",1959,2883848,25000000,8.3,175196,8.66897284461594
"Stripes",1981,10000000,85300000,6.9,48629,8.53
"Time Bandits",1981,5000000,42365600,7,45890,8.47312
"Crash",2004,6500000,54557348,7.9,361169,8.39343815384615
"Crash",2004,6500000,54557348,7.9,361169,8.39343815384615
"Dances with Wolves",1990,22000000,184208848,8,186485,8.37312945454545
"La Bamba",1987,6500000,54215416,6.8,21409,8.34083323076923
"Neighbors",2014,18000000,150056505,6.4,216581,8.3364725
"Waking Ned Devine",1998,3000000,24788807,7.4,21245,8.26293566666667
"High School Musical 3: Senior Year",2008,11000000,90556401,4.5,43795,8.23240009090909
"Black Swan",2010,13000000,106952327,8,551363,8.22710207692308
"Air Bud",1997,3000000,24629916,5.1,12942,8.209972
"Don Jon",2013,3000000,24475193,6.6,190494,8.15839766666667
"The Legend of God's Gun",2007,30000,243768,4.1,143,8.1256
"The Waterboy",1998,20000000,161487252,6.1,119450,8.0743626
"Tootsie",1982,22000000,177200000,7.4,77366,8.05454545454545
"Saw III",2006,10000000,80150343,6.2,142115,8.0150343
"Friday",1995,3500000,27900000,7.3,74626,7.97142857142857
"Menace II Society",1993,3500000,27900000,7.5,39508,7.97142857142857
"Dumb & Dumber",1994,16000000,127175354,7.3,288451,7.948459625
"The Purge: Anarchy",2014,9000000,71519230,6.5,92364,7.94658111111111
"The Wizard of Oz",1939,2800000,22202612,8.1,291875,7.92950428571429
"The Hangover",2009,35000000,277313371,7.8,583341,7.92323917142857
"The Incredibly True Adventure of Two Girls in Love",1995,250000,1977544,6.5,3513,7.910176
"The Purge: Election Year",2016,10000000,78845130,6.1,17596,7.884513
"Pieces of April",2003,300000,2360184,7.1,18035,7.86728
"The Lazarus Effect",2015,3300000,25799043,5.2,28513,7.81789181818182
"Monster's Ball",2001,4000000,31252964,7.1,71495,7.813241
